0.595	0.48	0.165	1.262	0.4835	0.283	0.41
0.565	0.425	0.16	0.9425	0.3495	0.2185	0.275
0.495	0.4	0.155	0.6445	0.242	0.1325	0.205
0.54	0.435	0.18	0.996	0.3835	0.226	0.325
0.745	0.585	0.215	2.499	0.9265	0.472	0.7
0.69	0.56	0.215	1.719	0.68	0.299	0.47
0.665	0.555	0.195	1.4385	0.581	0.354	0.36
0.68	0.55	0.21	1.7445	0.5975	0.305	0.625
0.53	0.415	0.175	0.7395	0.261	0.1395	0.2645
0.665	0.54	0.175	1.347	0.4955	0.254	0.415
0.575	0.4	0.155	0.9325	0.3605	0.2445	0.3
0.625	0.5	0.195	1.369	0.5875	0.2185	0.37
0.625	0.485	0.19	1.1745	0.4385	0.2305	0.42
0.65	0.515	0.16	1.1625	0.495	0.203	0.33
0.57	0.44	0.14	0.9535	0.3785	0.201	0.305
0.63	0.48	0.175	1.3675	0.5015	0.3035	0.515
0.535	0.42	0.145	0.926	0.398	0.1965	0.25
0.5	0.385	0.105	0.498	0.1795	0.1095	0.17
0.555	0.435	0.165	0.97	0.336	0.2315	0.295
0.5	0.38	0.155	0.655	0.2405	0.143	0.205
0.49	0.36	0.11	0.5005	0.161	0.107	0.195
0.52	0.405	0.14	0.8175	0.2795	0.183	0.26
0.53	0.42	0.13	1.001	0.34	0.226	0.265
0.66	0.52	0.2	1.676	0.673	0.4805	0.45
0.54	0.44	0.135	0.959	0.2385	0.221	0.3
0.53	0.425	0.17	0.949	0.3485	0.2395	0.278
0.655	0.58	0.205	2.0805	0.959	0.3415	0.601
0.73	0.595	0.23	2.8255	1.1465	0.419	0.897
0.775	0.57	0.22	2.032	0.735	0.4755	0.6585
0.62	0.495	0.175	1.806	0.643	0.3285	0.725
0.715	0.565	0.24	2.1995	0.7245	0.465	0.885
0.565	0.47	0.195	1.142	0.387	0.258	0.35
0.63	0.51	0.23	1.539	0.5635	0.2815	0.57
0.58	0.465	0.175	1.035	0.401	0.1865	0.385
0.595	0.475	0.17	1.0965	0.419	0.229	0.35
0.585	0.465	0.19	1.171	0.3905	0.2355	0.4
0.58	0.455	0.16	0.9215	0.312	0.196	0.3
0.575	0.435	0.15	0.805	0.293	0.1625	0.27
0.665	0.535	0.19	1.496	0.5775	0.2815	0.475
0.655	0.485	0.195	1.62	0.6275	0.358	0.485
0.64	0.52	0.2	1.407	0.566	0.304	0.455
0.71	0.565	0.195	1.7265	0.638	0.3365	0.565
0.72	0.56	0.175	1.7265	0.637	0.3415	0.525
0.585	0.455	0.125	1.027	0.391	0.212	0.25
0.635	0.505	0.19	1.3315	0.5805	0.252	0.435
0.53	0.43	0.17	0.775	0.35	0.152	0.235
0.515	0.405	0.14	0.8505	0.312	0.146	0.315
0.62	0.485	0.22	1.511	0.5095	0.284	0.51
0.635	0.505	0.185	1.3035	0.501	0.295	0.41
0.565	0.45	0.115	0.9085	0.398	0.197	0.29
0.52	0.425	0.155	0.7735	0.297	0.123	0.255
0.645	0.5	0.19	1.229	0.524	0.278	0.395
0.505	0.41	0.15	0.6345	0.243	0.1335	0.215
0.54	0.435	0.145	0.97	0.4285	0.22	0.264
0.59	0.465	0.195	1.0885	0.3685	0.187	0.375
0.61	0.46	0.17	1.278	0.41	0.257	0.37
0.615	0.5	0.165	1.1765	0.488	0.244	0.345
0.55	0.44	0.165	0.8605	0.312	0.169	0.3
