0.455	0.365	0.095	0.514	0.2245	0.101	0.15
0.605	0.475	0.18	0.9365	0.394	0.219	0.295
0.68	0.56	0.165	1.639	0.6055	0.2805	0.46
0.6	0.475	0.15	1.0075	0.4425	0.221	0.28
0.565	0.425	0.135	0.8115	0.341	0.1675	0.255
0.695	0.56	0.19	1.494	0.588	0.3425	0.485
0.55	0.435	0.145	0.843	0.328	0.1915	0.255
0.53	0.435	0.16	0.883	0.316	0.164	0.335
0.59	0.475	0.145	1.053	0.4415	0.262	0.325
0.56	0.45	0.16	0.922	0.432	0.178	0.26
0.53	0.415	0.16	0.783	0.2935	0.158	0.245
0.575	0.46	0.185	1.094	0.4485	0.217	0.345
0.6	0.495	0.165	1.2415	0.485	0.2775	0.34
0.56	0.45	0.175	1.011	0.3835	0.2065	0.37
0.635	0.505	0.17	1.415	0.605	0.297	0.365
0.63	0.505	0.225	1.525	0.56	0.3335	0.45
0.535	0.415	0.185	0.8415	0.314	0.1585	0.3
0.61	0.475	0.165	1.116	0.428	0.2205	0.315
0.565	0.45	0.195	1.0035	0.406	0.2505	0.285
0.565	0.465	0.175	0.995	0.3895	0.183	0.37
0.605	0.47	0.18	1.1405	0.3755	0.2805	0.385
0.59	0.5	0.165	1.1045	0.4565	0.2425	0.34
0.62	0.47	0.14	1.0325	0.3605	0.224	0.36
0.64	0.54	0.175	1.221	0.51	0.259	0.39
0.57	0.465	0.125	0.849	0.3785	0.1765	0.24
0.625	0.515	0.15	1.2415	0.5235	0.3065	0.36
0.655	0.53	0.175	1.2635	0.486	0.2635	0.415
0.625	0.5	0.15	0.953	0.3445	0.2235	0.305
0.62	0.47	0.225	1.115	0.378	0.2145	0.36
0.6	0.47	0.175	1.105	0.4865	0.247	0.315
0.585	0.455	0.225	1.055	0.3815	0.221	0.365
0.5	0.375	0.14	0.604	0.242	0.1415	0.179
0.42	0.325	0.115	0.2885	0.1	0.057	0.1135
0.45	0.35	0.145	0.525	0.2085	0.1	0.1655
0.465	0.36	0.105	0.498	0.214	0.116	0.14
0.485	0.38	0.15	0.605	0.2155	0.14	0.18
0.565	0.44	0.185	0.909	0.344	0.2325	0.255
0.555	0.44	0.15	1.092	0.416	0.212	0.4405
0.525	0.41	0.13	0.99	0.3865	0.243	0.295
0.52	0.4	0.12	0.6515	0.261	0.2015	0.165
0.52	0.4	0.12	0.823	0.298	0.1805	0.265
0.695	0.515	0.175	1.5165	0.578	0.4105	0.39
0.605	0.495	0.19	1.437	0.469	0.2655	0.41
0.57	0.43	0.12	1.0615	0.348	0.167	0.31
0.585	0.405	0.15	1.2565	0.435	0.202	0.325
0.505	0.385	0.145	0.6775	0.236	0.179	0.2
0.465	0.35	0.14	0.5755	0.2015	0.1505	0.19
0.47	0.36	0.145	0.537	0.1725	0.1375	0.195
